Hero Name,Facet,Win Rate,No Matches,KDA
Pugna,Rewards of Ruin,43.65,62908,2.54
Muerta,Ofrenda,48.16,62470,2.22
Phoenix,Hotspot,47.82,59762,3.06
Io,Medigun,51.46,59442,3.02
Dawnbreaker,Gleaming Hammer,48.66,58336,2.79
Tusk,Drinking Buddies,39.65,57866,2.31
Chaos Knight,Irrationality,53.74,56875,2.79
Bane,Sleepwalk,48.27,56548,2.96
Void Spirit,Symmetry,50.29,54220,3.26
Puck,Curveball,42.73,52238,2.56
Visage,Sepulchre,47.23,50878,2.76
Brewmaster,Roll Out the Barrel,46.83,49824,2.76
Shadow Demon,Shadow Servant,47.11,48752,2.85
Lone Druid,Bear with Me,41.46,48598,2.25
Slark,Dark Reef Renegade,44.49,45506,2.37
Bloodseeker,Bloodrush,46.32,44713,4.06
Troll Warlord,Bad Influence,50.45,43482,2.24
Beastmaster,Beast Mode,41.45,41337,2.22
Leshrac,Misanthropy,58.65,39460,3.03
Disruptor,Kinetic Fence,42.89,39333,2.78
Ember Spirit,Chain Gang,45.54,38581,3.1
Meepo,Pack Rat,44.82,36517,2.2
Huskar,Nothl Transfusion,48.61,35977,1.99
Beastmaster,Wild Hunt,42.23,33519,2.21
Primal Beast,Ferocity,52.27,33258,3.06
Warlock,Black Grimoire,54.70,30936,3.14
Pangolier,Thunderbolt,43.84,28438,2.66
Witch Doctor,Voodoo Festeration,47.86,27670,2.51
Visage,Faithful Followers,42.46,27030,2.43
Morphling,Flow,38.76,25881,2.2
Terrorblade,Soul Fragment,42.26,25044,1.94
Earth Spirit,Stepping Stone,40.53,23959,2.25
Kunkka,Grog Blossom,46.78,23906,2.82
Elder Titan,Momentum,50.18,23141,2.56
Batrider,Arsonist,37.34,21844,2.1
Magnus,Reverse Reverse Polarity,38.36,20422,2.37
Chen,Centaur Convert,38.08,17374,2.1
Doom,Devil's Bargain,44.37,15297,2.46
Lone Druid,Unbearable,33.75,14879,1.94
Keeper Of The Light,Recall,39.41,14618,2.65
Naga Siren,Deluge,41.09,14020,2.06
Medusa,Mana Pact,51.59,12847,3.35
Chen,Wolf Convert,41.17,10840,2.23
Brewmaster,Drunken Master,46.63,9760,2.74
Chen,Troll Convert,39.35,7900,2.14
Chen,Hellbear Convert,42.40,5753,2.28
Chen,Satyr Convert,41.17,4384,2.33
