Hero Name,Facet,Win Rate,No Matches,KDA
puck,Jostling Rift,44.13%,"119,304",2.81
phantom-lancer,Convergence,51.68%,"119,266",2.83
alchemist,Seed Money,47.77%,"117,565",2.60
death-prophet,Suppress,47.46%,"116,596",2.72
treant-protector,Primeval Power,46.24%,"114,526",2.73
undying,Ripped,53.94%,"111,325",3.06
razor,Dynamo,51.45%,"109,019",2.92
riki,Exterminator,50.29%,"107,381",3.08
earth-spirit,Resonance,44.25%,"106,359",2.58
templar-assassin,Voidblades,44.59%,"106,213",2.65
clinkz,Engulfing Step,50.01%,"105,644",2.71
oracle,Clairvoyant Curse,47.77%,"105,003",3.30
snapfire,Full Bore,43.57%,"104,417",2.72
lich,Growing Cold,54.97%,"103,535",3.05
crystal-maiden,Cold Comfort,49.24%,"103,108",2.48
broodmother,Feeding Frenzy,44.36%,"99,841",2.55
batrider,Stoked,40.69%,"98,500",2.48
winter-wyvern,Essence of the Blueheart,48.54%,"98,158",2.53
dark-seer,Heart of Battle,54.47%,"97,454",3.46
grimstroke,Fine Art,48.72%,"96,675",2.91
shadow-demon,Promulgate,43.94%,"96,271",2.70
omniknight,Healing Hammer,47.34%,"96,002",2.39
meepo,More Meepo,47.66%,"95,828",2.35
lycan,Pack Leader,47.66%,"95,820",2.69
bristleback,Snot Rocket,49.13%,"95,757",2.49
necrophos,Rapid Decay,51.31%,"95,112",2.98
monkey-king,Simian Stride,44.40%,"94,723",2.30
alchemist,Mixologist,48.55%,"93,459",2.77
underlord,Abyssal Horde,57.74%,"91,640",3.34
marci,Bodyguard,43.78%,"91,120",2.22
weaver,Hivemind,47.77%,"88,897",3.02
viper,Caustic Bath,49.30%,"88,425",2.62
arc-warden,Disorder,50.44%,"87,868",2.83
ursa,Bear Down,53.65%,"87,847",3.00
elder-titan,Deconstruction,48.47%,"86,907",2.42
night-stalker,Blinding Void,50.07%,"86,070",2.78
muerta,Ofrenda,48.08%,"84,206",2.24
queen-of-pain,Masochist,43.71%,"82,750",2.70
naga-siren,Rip Tide,49.78%,"82,242",2.68
timbersaw,Shredder,49.58%,"78,987",3.05
broodmother,Necrotic Webs,43.58%,"77,103",2.46
arc-warden,Order,44.47%,"77,102",2.34
nyx-assassin,Scuttle,47.26%,"76,816",2.86
pugna,Rewards of Ruin,43.31%,"76,705",2.51
dawnbreaker,Gleaming Hammer,48.67%,"71,840",2.78
tusk,Drinking Buddies,39.48%,"71,745",2.28
bane,Sleepwalk,48.44%,"71,615",2.96
io,Medigun,51.40%,"71,124",3.00
phoenix,Hotspot,48.22%,"70,923",3.10
puck,Curveball,42.36%,"70,201",2.58
chaos-knight,Irrationality,54.08%,"68,948",2.83
void-spirit,Symmetry,51.66%,"67,269",3.38
shadow-demon,Shadow Servant,46.43%,"66,087",2.81
brewmaster,Roll Out the Barrel,46.88%,"58,792",2.74
visage,Sepulchre,47.19%,"56,816",2.74
lone-druid,Bear with Me,40.92%,"56,371",2.27
bloodseeker,Bloodrush,45.76%,"55,865",4.03
disruptor,Kinetic Fence,43.19%,"55,111",2.76
slark,Dark Reef Renegade,44.11%,"51,792",2.34
troll-warlord,Bad Influence,50.56%,"51,082",2.25
leshrac,Misanthropy,58.06%,"49,121",2.99
beastmaster,Beast Mode,40.97%,"48,028",2.19
ember-spirit,Chain Gang,45.47%,"45,372",3.07
meepo,Pack Rat,44.59%,"43,026",2.22
huskar,Nothl Transfusion,48.00%,"42,555",1.98
primal-beast,Ferocity,52.59%,"40,908",3.11
beastmaster,Wild Hunt,42.31%,"38,165",2.20
warlock,Black Grimoire,54.42%,"37,393",3.12
pangolier,Thunderbolt,44.23%,"35,884",2.68
visage,Faithful Followers,42.06%,"30,841",2.41
morphling,Flow,39.56%,"30,333",2.20
terrorblade,Soul Fragment,42.87%,"29,027",1.93
kunkka,Grog Blossom,47.76%,"27,786",2.88
batrider,Arsonist,37.74%,"27,666",2.14
earth-spirit,Stepping Stone,40.03%,"27,531",2.22
elder-titan,Momentum,49.07%,"27,310",2.47
witch-doctor,Voodoo Festeration,46.12%,"27,091",2.35
magnus,Reverse Reverse Polarity,38.55%,"24,811",2.38
chen,Centaur Convert,38.93%,"19,409",2.11
doom,Devil's Bargain,43.42%,"19,374",2.45
keeper-of-the-light,Recall,39.45%,"18,606",2.63
lone-druid,Unbearable,33.65%,"18,572",1.92
medusa,Mana Pact,51.10%,"15,815",3.26
naga-siren,Deluge,40.27%,"15,658",2.04
chen,Wolf Convert,41.65%,"13,312",2.23
brewmaster,Drunken Master,46.63%,"11,526",2.70
chen,Troll Convert,38.50%,"10,031",2.09
chen,Hellbear Convert,39.99%,"6,336",2.16
chen,Satyr Convert,40.56%,"4,985",2.21
